번호,월차,지역,국가명,보고일,건수,발생일,발생 지역,구분,축종,사육,감염,폐사,살처분,도축,백신접종,"국내
이동제한",발생대응 예방접종,"봉쇄지역 및/또는 
보호지역
예찰(외)","봉쇄지역 및/또는 
보호지역
예찰(내)",스크리닝,이력추적,격리,"동물성
생산물
공식 처리","사체/
부산물/
폐기물
공식처리","생산물 또는 부산물 내 
병원체 
불활화 처리",살처분,"선택적 살처분 및
폐기","야생 보균원 
관리",방역대 설정,소독,해충구제,매개체 관리,매개체 예찰,생·해체 검사,"백신접종 허용
(백신이 있는경우)",백신접종 금지,"감염
동물
미치료",감염동물 치료,도축,State,City,Lat,Long
1,1,아프리카,튀니지,2025/01/07,1,2024/11/22,"Zaafrane, Kef Est, Le Kef",사육,소,9,2,0,0,0,,,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,Le Kef,Kef Est,36.19043,8.84629
2,1,아프리카,튀니지,2025/01/07,1,2024/11/08,"Sidi Mtir, Tajerouine, Le Kef",사육,소,2,1,0,0,0,,,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,Le Kef,Tajerouine,36.039974,8.630771
3,1,아프리카,튀니지,2025/01/07,1,2024/11/06,"Sidi khiar, Nebeur, Le Kef",사육,소,4,1,0,0,0,,,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,Le Kef,Nebeur,36.356604,8.764654
4,1,아프리카,튀니지,2025/01/07,1,2024/11/02,"Sed elkhir, Kalaat Senan, Le Kef",사육,소,6,1,0,0,0,,,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,Le Kef,Kalaat Senan,35.822418,8.400005
5,1,아프리카,튀니지,2025/01/07,1,2024/10/31,"Semmana, Kef Ouest, Le Kef",사육,소,10,3,0,0,0,,,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,Le Kef,Kef Ouest,36.111401,8.676934
6,1,아프리카,튀니지,2025/01/07,1,2024/10/30,"Zaafrane, Kef Est, Le Kef",사육,소,4,1,0,0,0,,,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,Le Kef,Kef Est,36.145476,8.745613
7,1,아프리카,튀니지,2025/01/07,1,2024/10/31,"Zaafrane, Kef Est, Le Kef",사육,소,10,4,0,0,0,,,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,Le Kef,Kef Est,36.172487,8.832042
8,1,아프리카,튀니지,2025/01/07,1,2024/10/31,"Zaafrane, Kef Est, Le Kef",사육,소,11,2,0,0,0,,,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,Le Kef,Kef Est,36.14654,8.745715
9,1,아프리카,튀니지,2025/01/07,1,2024/11/25,"Sidi Salem, Sidi Bouzid Ouest, Sidi Bou Zid",사육,소,1,1,0,0,0,,,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,Sidi Bou Zid,Sidi Bouzid Ouest,35.141106,9.499512
10,1,아프리카,튀니지,2025/01/07,1,2024/11/15,"Sidi salem, Sidi Bouzid Ouest, Sidi Bou Zid",사육,소,4,1,0,0,0,,,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,Sidi Bou Zid,Sidi Bouzid Ouest,35.138799,9.496755
11,1,아프리카,튀니지,2025/01/07,1,2024/11/21,"Elahwaz, Sidi Bouzid Est, Sidi Bou Zid",사육,소,1,1,0,0,0,,,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,Sidi Bou Zid,Sidi Bouzid Est,34.971297,9.470662
12,1,아프리카,튀니지,2025/01/07,1,2024/11/20,"Sidi Salem, Sidi Bouzid Ouest, Sidi Bou Zid",사육,소,1,1,0,0,0,,,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,Sidi Bou Zid,Sidi Bouzid Ouest,35.080798,9.455047
13,1,아프리카,튀니지,2025/01/07,1,2024/11/16,"Bennour, Sidi Bouzid Est, Sidi Bou Zid",사육,소,5,1,0,0,0,,,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,Sidi Bou Zid,Sidi Bouzid Est,35.145906,9.547939
14,1,아프리카,튀니지,2025/01/07,1,2024/11/20,"Bennour, Sidi Bouzid Est, Sidi Bou Zid",사육,소,3,1,0,0,0,,,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,Sidi Bou Zid,Sidi Bouzid Est,35.154327,9.546909
15,1,아프리카,튀니지,2025/01/07,1,2024/11/12,"Dar chaabane, Dar Chaabane El Fehri, Nabeul",사육,소,15,1,0,0,0,,,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,Nabeul,Dar Chaabane El Fehri,36.45471,10.759598
16,1,아프리카,튀니지,2025/01/07,1,2024/11/11,"Zaouiet kontech, Jammel, Monastir",사육,소,3,1,0,0,0,,,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,Monastir,Jammel,35.646362,10.755958
17,1,아프리카,튀니지,2025/01/07,1,2024/11/19,"Saddine, Makthar, Siliana",사육,소,8,1,0,0,0,,,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,Siliana,Makthar,35.826582,9.041354
18,1,아프리카,튀니지,2025/01/07,1,2024/12/16,"Bourouis nord, Bourouis, Siliana",사육,소,20,4,0,0,0,,,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,Siliana,Bourouis,36.18617,9.128233
19,1,아프리카,튀니지,2025/01/07,1,2024/10/21,"Ghammarth, La Marsa, Tunis",사육,소,5,1,0,0,0,,,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,Tunis,La Marsa,36.917326,10.278644
20,1,아프리카,튀니지,2025/01/07,1,2024/11/07,"Gammarth, La Marsa, Tunis",사육,소,18,6,1,0,0,,,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,Tunis,La Marsa,36.913158,10.287937
